timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,494,128,987,125
2,20599,5584,70942,5620
3,21018,5955,73874,6096
4,20539,5592,71311,5705
5,20317,5632,69678,5862
6,21155,5810,73820,5882
7,21301,6035,74327,6086
8,20221,4596,61807,4923
9,21323,5931,74705,6099
10,21072,6058,73331,6006
11,20630,5888,71336,5901
12,21179,5957,74618,5966
13,20950,5960,73310,6116
14,20957,6020,73486,6217
15,21163,6029,73310,6232
16,8548,2384,0,0
17,26,0,0,0
18,26,0,0,0
19,27,0,0,0
20,28,0,0,0
21,26,0,0,0
22,26,0,0,0
23,26,0,0,0
24,26,0,0,0
25,28,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,27,0,0,0
30,28,0,0,0
