timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,669,1026,1700,2409,55,5247,714,271
2,755,1231,2103,3937,60,5243,827,359
3,759,1203,2034,3259,60,7151,824,341
4,678,1024,1706,2417,60,4231,720,268
5,676,1020,1699,2483,59,3905,720,267
6,677,1020,1710,2449,57,5203,720,268
7,679,1031,1678,2521,67,4583,720,269
8,683,1018,1661,2407,59,3295,721,263
9,689,1040,1708,2319,57,3609,734,265
10,701,1083,2221,2445,64,4655,760,311
11,699,1061,1731,2483,63,5415,743,274
12,699,1053,1737,2645,66,5555,745,277
13,698,1055,1753,2601,66,4695,742,278
14,721,1110,1699,2403,60,4735,772,277
15,837,1222,1892,2741,74,4179,890,307
16,823,1209,1971,2893,83,6071,867,304
17,819,1217,1919,2651,75,4259,867,297
18,826,1220,1949,2783,85,4061,872,300
19,824,1218,1930,2737,86,4159,869,299
20,823,1212,1912,2751,82,4563,869,298
21,825,1225,1921,2619,73,4075,872,297
22,826,1211,1913,2731,72,4435,869,295
23,817,1228,1979,2781,71,4007,868,304
24,818,1220,1962,2733,85,4295,868,303
25,837,1224,1915,2711,91,5075,881,294
26,833,1218,1900,2755,92,4159,877,294
27,824,1245,2045,2875,75,3969,880,321
28,823,1216,1927,2665,78,3671,871,293
29,824,1213,1886,2551,77,3919,869,290
30,822,1212,1911,2695,81,3845,869,292
