syscall_name,count,errors,total_time_us,avg_time_us,pct_time
accept,85220,0,415122,4,0.10
shutdown,85219,0,2066342,24,0.50
futex,46469,0,223609236,4812,54.29
restart_syscall,6,0,997075,166179,0.24
