timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,28,2,22,3
2,28,2,22,3
3,28,2,22,3
4,28,2,22,3
5,28,2,22,3
6,28,2,22,3
7,28,2,22,3
8,28,2,22,3
9,28,2,22,3
10,28,2,22,3
11,28,2,22,3
12,28,2,22,3
13,28,2,22,3
14,28,2,22,3
15,28,2,22,3
16,28,2,22,3
17,28,2,22,3
18,28,2,22,3
19,28,2,22,3
20,28,2,22,3
21,28,2,22,3
22,28,2,22,3
23,28,2,22,3
24,28,2,0,0
25,28,2,0,0
26,28,2,0,0
27,28,2,0,0
28,28,2,0,0
29,28,2,0,0
30,28,2,0,0
