timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,127,154,187,239,56,605,126,24
2,153,216,347,718,65,1358,161,56
3,154,216,321,558,63,1438,161,50
4,158,237,379,894,70,3929,171,87
5,155,211,314,557,68,1230,161,47
6,152,206,292,567,67,3737,157,50
7,126,152,181,228,58,997,124,26
8,125,153,180,218,58,542,124,23
9,125,152,179,226,56,883,124,25
10,126,152,180,212,61,1005,124,25
11,125,152,179,212,58,646,124,24
12,125,152,182,250,56,516,124,24
13,125,152,180,227,58,1110,124,25
14,124,152,179,217,57,558,123,23
15,125,152,179,223,60,536,124,24
16,126,153,182,262,57,2833,125,39
17,125,152,178,211,57,562,124,24
18,125,152,178,220,58,567,124,23
19,124,151,178,212,58,929,123,25
20,126,152,179,220,60,558,124,23
21,126,152,179,214,63,951,124,25
22,125,152,178,210,58,594,123,23
23,125,152,179,213,59,534,124,23
24,127,156,214,257,59,904,127,29
25,125,152,178,217,58,625,124,24
26,125,153,180,220,57,565,124,24
27,125,153,180,224,57,1034,124,26
28,125,153,179,213,59,619,124,24
29,125,153,179,217,61,623,124,24
30,126,154,181,222,60,1005,125,25
