timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,223,1,482,0
2,26160,129,58055,85
3,25905,126,56392,109
4,25953,101,55538,95
5,27094,118,56180,91
6,25854,105,56730,85
7,26091,109,55167,97
8,26329,126,55945,105
9,26490,111,56886,114
10,26253,140,56152,120
11,26550,142,55929,96
12,26525,119,55119,95
13,26291,137,56878,136
14,25773,110,57635,114
15,26053,121,54456,90
16,26074,116,54897,87
17,25994,113,58019,105
18,26728,103,57421,93
19,26450,116,55412,107
20,26612,177,57333,105
21,26206,130,55637,112
22,25948,146,56986,123
23,26338,131,56151,105
24,21937,98,44395,72
25,26,0,0,0
26,26,0,0,0
27,29,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
