timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,2113,465,1307,444
2,80349,12391,73940,21945
3,82195,12019,76060,21798
4,81454,12236,75004,23366
5,79811,12218,73075,22152
6,81551,12350,74933,23069
7,82696,12581,76487,22983
8,82655,12531,75267,22243
9,81827,12489,74377,22677
10,82342,12589,75221,22779
11,81996,12551,74358,22652
12,82093,12646,76997,23016
13,80808,12291,72181,21929
14,70101,449,57322,378
15,69848,304,54541,324
16,81259,9004,68921,16109
17,78966,12146,74476,21117
18,72059,10847,67275,18403
19,70677,10961,64370,19099
20,70328,10866,65280,19787
21,23828,3534,0,0
22,28,0,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
