timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,923808,5515532,0,104824
2,1019568,5581068,0,104828
3,1118328,5712140,0,104836
4,1217492,5777676,0,104844
5,1317676,5908748,0,104868
6,1417456,5974284,0,104880
7,1516388,6105356,0,104880
8,1615488,6170892,0,104880
9,1715948,6301964,0,104888
10,1814804,6367500,0,104896
11,1913712,6498572,0,104908
12,2013560,6564108,0,104908
13,2107792,6695180,0,104912
14,2202764,6760716,0,104984
15,2303928,6891788,0,104988
16,2403428,6957324,0,104988
17,2454864,7022860,0,104988
18,0,0,0,105004
19,0,0,0,105004
20,0,0,0,105040
21,0,0,0,105044
22,0,0,0,105052
23,0,0,0,105052
24,0,0,0,105056
25,0,0,0,105056
26,0,0,0,105056
27,0,0,0,105136
28,0,0,0,105144
29,0,0,0,0
30,0,0,0,0
