timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,2171,518,1523,707
2,61289,11247,46799,17265
3,62080,11400,47254,17225
4,62404,11669,46907,16809
5,60953,11420,45877,16997
6,61837,11889,46769,16558
7,61151,10573,48252,15338
8,64133,8131,51500,11586
9,60726,11343,47273,17139
10,61986,11328,47126,15982
11,62217,11327,47928,16774
12,61540,11675,46289,16188
13,61692,11763,47453,16996
14,61766,11494,47016,16625
15,61278,11427,46817,16894
16,62406,11866,46150,17259
17,61223,11303,45906,17418
18,60705,11620,46643,16449
19,60636,11818,46588,16301
20,39977,7565,-1567427,-558382
21,28,0,0,0
22,26,0,0,0
23,27,0,0,0
24,26,0,0,0
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,27,0,0,0
29,26,0,0,0
30,26,0,0,0
