timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,650,10,507,3
2,36774,172,41267,168
3,37273,236,43215,361
4,25184,6766,105813,12292
5,25405,6634,104886,12771
6,24155,6687,106109,13173
7,23978,7032,105123,13144
8,23774,7057,104875,12934
9,25658,6560,115389,12670
10,28043,1359,86660,2587
11,20685,1061,27890,1477
12,20688,867,28411,1230
13,20650,847,28116,1341
14,21145,1029,32023,1647
15,22891,938,35324,1589
16,25139,522,38697,896
17,28175,138,44197,196
18,27509,118,41337,196
19,25954,96,36742,154
20,28155,123,43732,246
21,28290,114,44282,193
22,20832,53,0,0
23,15187,5,0,0
24,15215,4,0,0
25,15186,2,0,0
26,15223,0,0,0
27,15188,1,0,0
28,15214,2,0,0
29,15198,1,0,0
30,15205,4,0,0
