timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,2015,489,850,274
2,59594,11013,40190,9849
3,59293,10963,39294,9812
4,58343,10914,38580,10097
5,57885,10825,38688,10074
6,59191,11195,39799,10224
7,59803,11365,40416,9937
8,58278,11077,39413,10459
9,58864,11197,38698,10303
10,60548,11131,39883,10014
11,59842,11204,40196,10503
12,59748,11403,40152,10295
13,61059,11250,40158,10176
14,60200,10991,39699,9817
15,59062,11223,39151,10027
16,59621,11182,39470,10004
17,59422,11359,38104,10059
18,58944,11423,38788,10365
19,52183,9922,35699,9575
20,26,0,0,0
21,26,0,0,0
22,29,0,0,0
23,26,0,0,0
24,26,0,0,0
25,26,0,0,0
26,26,0,0,0
27,29,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
