timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,306,5,702,2
2,25083,74,57802,114
3,24948,62,58011,81
4,25116,68,59017,90
5,25411,107,57225,116
6,25003,38,57327,84
7,25916,33,55050,105
8,25872,41,58195,94
9,25429,54,59057,111
10,25171,43,57266,82
11,25850,26,55485,88
12,25849,32,56038,91
13,25693,22,56697,100
14,25662,51,57954,103
15,25556,34,59137,97
16,25957,26,56534,88
17,25524,37,56112,79
18,25604,33,56387,90
19,25564,28,54549,96
20,25731,43,54292,85
21,25740,51,55556,81
22,25222,56,57653,98
23,25749,40,56955,100
24,13534,20,0,0
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
