timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1074,135,996,47
2,64994,9245,120545,10276
3,65430,9781,121870,11147
4,65299,10019,122008,11082
5,64850,9977,120464,11182
6,65639,10090,122423,11177
7,65238,9710,121742,10971
8,65343,10096,122949,11345
9,65699,10140,122692,11294
10,65417,10356,122970,11741
11,65358,10340,122327,11275
12,65142,10427,122472,11739
13,65177,10405,121559,11729
14,65164,10652,121600,11703
15,65336,10254,122428,11918
16,65166,11012,122019,12317
17,64090,10801,120245,12187
18,64950,11049,121452,12276
19,64096,10796,118958,12479
20,63981,11125,119127,12533
21,64612,10848,120292,12365
22,5605,940,0,0
23,26,0,0,0
24,27,0,0,0
25,26,1,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,27,0,0,0
30,25,1,0,0
