timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,4.5,7.5,12.0,5.0,12.0,17.0
2,77.5,185.5,263.0,82.0,361.0,443.0
3,80.0,184.0,264.0,85.5,360.0,445.5
4,79.0,187.5,266.5,87.5,356.0,443.5
5,75.5,187.5,263.0,79.0,359.0,438.0
6,77.0,190.5,267.5,80.5,362.0,442.5
7,79.5,188.5,268.0,79.0,368.5,447.5
8,80.0,187.5,267.5,78.5,369.0,447.5
9,77.5,192.0,269.5,80.5,367.5,448.0
10,83.0,185.5,268.5,78.0,366.5,444.5
11,76.5,191.0,267.5,81.0,360.5,441.5
12,79.5,191.5,271.0,81.0,364.5,445.5
13,79.0,189.0,268.0,80.5,365.0,445.5
14,80.0,191.0,271.0,81.5,367.0,448.5
15,78.0,194.0,272.0,79.5,366.5,446.0
16,81.0,197.0,278.0,83.5,368.5,452.0
17,83.5,195.0,278.5,77.5,379.0,456.5
18,80.5,197.0,277.5,79.5,374.5,454.0
19,79.5,198.0,277.5,79.5,371.0,450.5
20,81.5,192.5,274.0,79.0,369.0,448.0
21,41.0,95.0,136.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
