timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,99470,417376120,99470.0,398.041,0.099470
2,86806,364237976,86806.0,347.364,0.086806
3,83475,350261100,83475.0,334.035,0.083475
4,85933,360574868,85933.0,343.871,0.085933
5,73104,306744384,73104.0,292.534,0.073104
6,73444,308171024,73444.0,293.895,0.073444
7,83520,350449920,83520.0,334.215,0.083520
8,86143,361460224,86143.0,344.715,0.086143
9,79963,335520552,79963.0,319.977,0.079963
10,98384,412819264,98384.0,393.695,0.098384
11,97633,409668068,97633.0,390.690,0.097633
12,97503,409122588,97503.0,390.170,0.097503
13,98151,411841596,98151.0,392.763,0.098151
14,97122,407523912,97122.0,388.645,0.097122
15,96905,406613380,96905.0,387.777,0.096905
16,97537,409265252,97537.0,390.306,0.097537
17,97267,408132332,97267.0,389.225,0.097267
18,97991,411170236,97991.0,392.122,0.097991
19,96819,406252524,96819.0,387.433,0.096819
20,99121,415911716,99121.0,396.644,0.099121
21,96789,406126644,96789.0,387.313,0.096789
22,95981,402736276,95981.0,384.079,0.095981
23,96751,405967196,96751.0,387.160,0.096751
24,97517,409181332,97517.0,390.226,0.097517
25,95930,402522280,95930.0,383.875,0.095930
26,96186,403596456,96186.0,384.900,0.096186
27,98417,412957732,98417.0,393.827,0.098417
28,96663,405597948,96663.0,386.808,0.096663
29,96580,405249680,96580.0,386.476,0.096580
30,97042,407188232,97042.0,388.325,0.097042
