strace: Process 1297553 attached with 14 threads
strace: Process 1297975 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 87.11    0.053353          85       627       109 futex
  0.03    0.000016           0        74           pread64
  0.12    0.000076           1        71           write
  0.09    0.000055           1        46           read
  1.77    0.001086          45        24           epoll_wait
  0.05    0.000029           1        22           lseek
  1.32    0.000807          53        15           mmap
  1.52    0.000929          71        13           rt_sigprocmask
  3.49    0.002136         356         6         4 restart_syscall
  1.50    0.000919         229         4           madvise
  0.00    0.000003           1         3           close
  0.00    0.000002           1         2           gettid
  0.01    0.000006           3         2           sched_getaffinity
  0.00    0.000001           1         1           mprotect
  0.00    0.000000           0         1           unlink
  0.00    0.000001           1         1           prctl
  0.02    0.000011          11         1           set_robust_list
  1.50    0.000919         919         1           rseq
  1.47    0.000899         899         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.061248          66       915       113 total
