timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,556,4,821,6
2,28076,152,43625,233
3,28339,132,44528,186
4,28347,116,44445,168
5,28301,129,44441,174
6,27948,124,44056,210
7,28118,137,44335,228
8,28287,125,44416,227
9,28537,117,44783,194
10,28085,134,44394,240
11,28363,113,44289,181
12,28232,114,44117,209
13,28052,113,44084,215
14,27962,138,43540,275
15,28408,120,44771,215
16,28077,104,43988,199
17,28191,129,44450,224
18,28018,119,44105,236
19,28181,135,44265,250
20,28280,133,44505,200
21,28384,142,44847,206
22,28238,111,44328,220
23,28089,114,44039,202
24,25799,82,35129,163
25,15201,7,0,0
26,15193,3,0,0
27,15172,6,0,0
28,15212,5,0,0
29,15191,5,0,0
30,15195,3,0,0
