timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,739,151,1650,253
2,28617,5515,142305,12373
3,28707,5720,142894,12537
4,30805,5107,133995,10835
5,28135,5659,141887,12683
6,28345,5919,143523,12882
7,29828,5668,154703,12311
8,24826,1060,56146,1794
9,20725,942,28624,1417
10,27538,151,42648,187
11,28257,109,44096,179
12,28536,119,46978,236
13,28324,125,44784,239
14,28073,122,43716,195
15,28284,141,44420,226
16,27801,125,42836,213
17,28219,140,46200,248
18,28142,119,44688,206
19,28178,116,44158,159
20,28062,118,43442,214
21,26983,91,39747,157
22,20850,43,0,0
23,15212,0,0,0
24,15194,3,0,0
25,15206,3,0,0
26,15222,0,0,0
27,15212,1,0,0
28,15208,2,0,0
29,15225,3,0,0
30,15177,5,0,0
