timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,290,1,210,0
2,16534,14,12035,12
3,16597,9,12102,11
4,16589,10,11970,5
5,16650,15,12045,0
6,16623,10,12641,5
7,16653,8,12402,2
8,16587,15,11885,1
9,16573,17,11700,5
10,16727,15,13054,3
11,16577,17,11743,6
12,16662,12,12394,0
13,16477,15,10955,3
14,16650,16,12336,3
15,16628,17,12200,7
16,16462,4,10712,12
17,16669,15,12619,9
18,16673,13,12572,9
19,16637,8,12229,8
20,16463,14,10799,7
21,16578,20,11782,9
22,16683,17,12614,0
23,16596,7,12043,5
24,16697,17,12763,9
25,15202,3,0,0
26,15207,4,0,0
27,15206,2,0,0
28,15211,1,0,0
29,15198,1,0,0
30,15217,2,0,0
