timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,787,1433,3737,6031,58,10503,943,620
2,736,1148,2099,3147,72,4967,794,335
3,722,1163,1984,3171,60,5483,783,332
4,848,1363,2409,4075,74,8155,927,409
5,920,1463,2495,3943,80,6095,994,414
6,914,1413,2361,3557,70,5987,984,382
7,1006,1606,2721,4651,86,6927,1093,453
8,994,1606,2711,4155,96,8927,1087,456
9,1000,1572,2689,4379,87,6387,1083,441
10,948,1488,2517,3807,97,6547,1028,408
11,885,1429,2543,4323,95,11111,976,434
12,789,1123,1892,3125,92,5635,835,287
13,793,1132,1815,2725,94,8575,834,271
14,798,1145,1926,2923,78,4351,839,290
15,791,1129,1878,2897,79,4779,832,282
16,789,1124,1913,2953,85,5179,830,288
17,799,1111,1759,2619,92,4579,832,259
18,801,1129,1882,3037,80,5331,841,283
19,793,1113,1788,2731,86,5719,831,264
20,796,1119,1846,2819,90,5911,836,272
21,801,1110,1735,2647,96,4707,836,253
22,800,1115,1802,2919,81,6091,836,270
23,811,1130,1794,2725,74,4795,846,264
24,934,1275,1988,2969,118,6027,971,285
25,938,1284,2023,2971,93,5147,975,288
26,938,1272,1960,2813,93,4511,974,273
27,938,1280,2061,3071,121,5251,976,292
28,937,1287,2010,2927,103,4747,978,284
29,940,1285,2047,3025,119,5223,980,290
30,939,1285,2013,2995,116,4791,977,289
