timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,688,231,1089,126
2,28723,7825,61703,6951
3,29498,7986,61618,7100
4,28856,8094,62206,7161
5,28711,7876,60699,6842
6,28841,8192,62633,7185
7,28933,8401,62257,7207
8,27934,8015,61761,7185
9,28701,8146,62237,7159
10,31033,7903,62198,7089
11,28930,7854,61837,7505
12,29220,8133,62262,7428
13,28455,8338,62870,7368
14,28451,8565,61468,7207
15,28490,8133,61533,7392
16,28585,8733,61717,7181
17,28608,8625,60779,7273
18,27793,8685,61206,7317
19,28049,8600,61525,7340
20,28010,8496,61248,7295
21,26802,8208,57882,7069
22,18274,5601,41251,4908
23,26,0,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,27,0,0,0
