strace: Process 1367773 attached with 22 threads
strace: Process 1368269 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 91.28    0.206988         180      1147       360 futex
  0.02    0.000055           0        74           pread64
  0.05    0.000112           1        71           write
  0.04    0.000081           1        46           read
  5.10    0.011567         481        24           epoll_wait
  0.00    0.000010           0        22           lseek
  0.18    0.000410          21        19           mmap
  0.00    0.000010           0        16           rt_sigprocmask
  0.01    0.000024           3         8           getrusage
  0.00    0.000008           1         7           madvise
  2.47    0.005606         800         7         5 restart_syscall
  0.00    0.000000           0         3           close
  0.00    0.000001           0         3           gettid
  0.00    0.000001           0         2           sched_getaffinity
  0.00    0.000001           1         1           mprotect
  0.00    0.000003           3         1           unlink
  0.00    0.000001           1         1           prctl
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000001           1         1           rseq
  0.84    0.001895        1895         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.226774         155      1455       365 total
