strace: Process 1320739 attached with 20 threads
strace: Process 1321121 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 92.59    0.297544         137      2164       863 futex
  0.14    0.000456           1       307           getrusage
  0.02    0.000054           0        74           pread64
  0.25    0.000806          11        71           write
  0.03    0.000107           2        44           read
  0.00    0.000014           0        22           lseek
  6.20    0.019928         905        22           epoll_wait
  0.03    0.000097           6        16           mmap
  0.01    0.000026           1        16           rt_sigprocmask
  0.37    0.001192         149         8         6 restart_syscall
  0.01    0.000036           5         7           madvise
  0.00    0.000004           1         3           close
  0.01    0.000022          11         2           gettid
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000000           0         1           mprotect
  0.01    0.000022          22         1           unlink
  0.00    0.000001           1         1           prctl
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000001           1         1           rseq
  0.33    0.001055        1055         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.321367         116      2764       869 total
