syscall_name,count,errors,total_time_us,avg_time_us,pct_time
read,2325056,0,121683856,52,17.98
futex,104710,0,519002854,4956,76.71
write,68384,0,3839507,56,0.57
shutdown,34192,0,1848648,54,0.27
rt_sigreturn,394,0,12343,31,0.00
restart_syscall,6,0,9836053,1639342,1.45
openat,5,0,301,60,0.00
