timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,8087,9439,11975,13183,53,16095,8013,1594
2,8059,9319,11855,13303,58,15423,8067,1444
3,7971,8879,11487,13511,60,15463,7917,1319
4,9463,11887,14895,16527,51,18591,9486,2117
5,9783,11583,14951,18895,60,21615,9807,1914
6,9503,11223,14327,16199,51,18575,9572,1756
7,11479,14247,16463,18079,61,21439,11345,2517
8,11143,15111,17711,20431,103,23359,11353,2985
9,10239,12519,14919,16991,53,18639,10173,2190
10,9591,12487,15295,17935,94,20495,9819,2170
11,7011,11719,13767,15479,46,17983,6148,4592
12,691,1160,1339,1581,132,3643,724,317
13,769,1245,1418,1548,150,1727,790,325
14,554,993,1091,1158,42,2187,577,275
15,493,972,1085,10847,44,11991,537,522
16,685,1055,1161,1269,45,1506,654,304
17,512,976,1075,1107,44,1137,542,304
18,483,965,1068,1107,44,1129,525,293
19,516,980,1084,1109,43,1135,535,298
20,524,970,1085,1106,45,2173,534,293
21,672,1059,1152,1306,44,9639,648,387
22,612,981,1075,1113,42,1177,603,268
23,591,974,1074,1113,44,2179,587,265
24,458,948,1070,1114,43,2167,504,288
25,589,992,1076,1118,43,2165,593,288
26,688,1057,1138,1200,46,2189,658,305
27,608,1019,1076,1113,42,2165,599,305
28,493,976,1074,1107,45,1150,527,295
29,515,979,1078,1109,43,1135,541,306
30,468,984,1088,1109,40,1128,518,307
