timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1281,397,997,268
2,24965,6692,20045,5847
3,25306,6629,20170,5716
4,25449,6744,20998,6297
5,24894,6846,20723,6149
6,24967,6729,20629,6189
7,26154,6863,21658,6169
8,25336,6824,20887,6267
9,26845,6945,21740,6501
10,25047,6684,20560,6471
11,26079,6980,21082,5933
12,8309,2275,0,0
13,25,0,0,0
14,26,0,0,0
15,27,0,0,0
16,26,0,0,0
17,28,0,0,0
18,26,0,0,0
19,26,0,0,0
20,27,0,0,0
21,26,0,0,0
22,28,0,0,0
23,26,0,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,27,0,0,0
