timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,603,776,957,1197,341,1607,619,120
2,741,1076,1652,2391,359,3797,783,251
3,828,1120,1454,1853,409,2769,849,204
4,836,1153,1621,2227,414,3479,869,233
5,798,1068,1430,1803,410,2693,821,195
6,942,1243,1619,2006,390,2565,956,228
7,995,1379,1889,2985,463,3995,1030,283
8,918,1396,1963,2379,396,3093,977,306
9,958,1396,2103,3419,437,4539,1003,334
10,851,1131,1478,1833,421,2337,869,207
11,972,1313,1749,2211,494,3795,997,248
12,760,1024,1368,2085,399,4927,787,210
13,951,1250,1626,1985,403,3277,972,221
14,819,1158,1559,2491,360,6203,846,265
15,580,741,911,1149,367,1776,596,110
16,576,731,904,1107,341,1403,592,106
17,579,737,907,1061,329,1296,594,107
18,577,734,894,1039,340,1230,593,106
19,581,738,901,1092,332,1469,595,107
20,579,734,892,1052,344,1337,593,105
21,581,749,975,1837,325,3817,602,135
22,606,802,985,1082,356,1354,628,131
23,753,960,1004,1065,639,1148,800,96
24,748,968,1009,1100,646,1536,803,103
25,745,965,1008,1113,376,2959,788,118
26,575,731,896,1342,335,1546,591,108
27,571,722,875,1075,313,1330,585,102
28,571,730,892,1034,329,1189,586,105
29,569,721,872,1079,352,1521,584,103
30,569,722,878,1028,319,1247,585,102
