timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,976,154,1509,126
2,52441,9319,136197,7911
3,52604,9546,138042,8491
4,52303,9798,135652,8432
5,50914,9277,130602,8087
6,51735,9176,132715,8177
7,51976,9813,136584,8329
8,52229,9330,136092,8493
9,51785,9861,135277,8819
10,51912,9767,136181,8785
11,52074,10032,137307,9166
12,52196,10097,136639,8625
13,52152,10144,136037,8793
14,52128,10081,136379,9026
15,51674,9926,131321,8762
16,51324,10409,133012,9196
17,51608,10338,133262,9222
18,51385,9996,133551,8924
19,52137,10596,135481,9225
20,52420,10586,136108,9300
21,10647,2132,0,0
22,26,0,0,0
23,26,0,0,0
24,26,0,0,0
25,28,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,26,0,0,0
30,28,0,0,0
