timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,153,0,573,0
2,10877,67,43582,20
3,11300,67,45216,49
4,10936,59,43837,43
5,11269,33,45345,27
6,11340,52,45464,40
7,11480,46,45342,31
8,11212,41,44895,17
9,11392,26,45562,30
10,11191,62,44821,40
11,10894,68,43697,9
12,11317,38,45275,16
13,11170,30,44176,24
14,11256,38,45036,42
15,11302,68,45286,37
16,11372,33,45555,21
17,11244,56,45058,39
18,11318,49,45290,31
19,11207,54,44891,36
20,11233,36,44488,27
21,11199,58,44968,30
22,11428,41,45766,41
23,11251,53,45093,43
24,9711,45,38107,42
25,26,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,1,0,0
29,28,0,0,0
30,26,0,0,0
