timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,2031,387,1381,598
2,74136,12018,57148,18657
3,75339,12065,58655,17982
4,74381,12310,58066,17970
5,73970,12825,56928,17747
6,73573,12228,56440,17554
7,74871,12551,58235,17591
8,74158,12487,55646,17800
9,74295,12513,55903,17130
10,75502,12123,58978,17317
11,74536,12490,58132,18295
12,74824,12639,56745,17394
13,73939,13313,57378,17680
14,68979,12059,52560,15965
15,66325,10080,50027,12474
16,60812,10933,46962,15093
17,61880,11097,46713,14959
18,61894,10998,45843,15007
19,61773,11351,47261,14779
20,61775,10815,46652,15411
21,24936,4426,0,0
22,25,0,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
