timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,322,1,921,2
2,27883,98,65035,114
3,27651,151,64630,134
4,27855,96,67359,86
5,28213,104,64358,108
6,27477,88,68322,102
7,28113,95,69557,94
8,28296,108,62514,131
9,27981,80,63737,109
10,28424,107,64369,120
11,28678,106,64029,99
12,28294,125,67942,127
13,27884,128,66821,127
14,27600,129,64431,103
15,28236,134,65303,106
16,28439,122,67938,103
17,28398,111,67593,102
18,28630,100,67123,126
19,28497,114,66929,122
20,28772,114,62500,111
21,27662,102,64115,122
22,27917,94,65667,107
23,28393,100,64633,93
24,28328,132,64234,99
25,28,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,26,0,0,0
30,28,0,0,0
