timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,0.0,0.0,0.0,4.6,0.3,4.9
2,0.0,0.0,0.0,4.6,0.3,4.9
3,0.0,0.0,0.0,4.7,0.3,5.0
4,0.0,0.0,0.0,4.7,0.3,5.0
5,0.0,0.0,0.0,4.7,0.3,5.0
6,0.0,0.0,0.0,4.8,0.3,5.1
7,0.0,0.0,0.0,4.8,0.3,5.1
8,0.0,0.0,0.0,4.8,0.3,5.1
9,0.0,0.0,0.0,4.8,0.3,5.1
10,0.0,0.0,0.0,4.8,0.3,5.1
11,0.0,0.0,0.0,4.8,0.3,5.1
12,0.0,0.0,0.0,4.8,0.3,5.1
13,0.0,0.0,0.0,4.8,0.3,5.1
14,0.0,0.0,0.0,4.9,0.3,5.2
15,0.0,0.0,0.0,4.9,0.3,5.2
16,0.0,0.0,0.0,4.9,0.3,5.2
17,0.0,0.0,0.0,4.9,0.4,5.3
18,0.0,0.0,0.0,4.9,0.4,5.3
19,0.0,0.0,0.0,4.9,0.4,5.3
20,0.0,0.0,0.0,4.9,0.4,5.3
21,0.0,0.0,0.0,4.9,0.4,5.3
22,0.0,0.0,0.0,5.0,0.4,5.4
23,0.0,0.0,0.0,5.0,0.4,5.4
24,0.0,0.0,0.0,5.0,0.4,5.4
25,0.0,0.0,0.0,5.0,0.4,5.4
26,0.0,0.0,0.0,5.0,0.4,5.4
27,0.0,0.0,0.0,5.0,0.4,5.4
28,0.0,0.0,0.0,5.1,0.4,5.4
29,0.0,0.0,0.0,5.1,0.4,5.4
30,0.0,0.0,0.0,0.0,0.0,0.0
