timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,57135,3689390133,57135.0,3518.477,0.057135
2,59396,3838714308,59396.0,3660.883,0.059396
3,57896,3744065754,57896.0,3570.619,0.057896
4,51556,3334359600,51556.0,3179.893,0.051556
5,49708,3219035391,49708.0,3069.911,0.049708
6,48682,3149853993,48682.0,3003.935,0.048682
7,49594,3209977485,49594.0,3061.273,0.049594
8,46379,3004336764,46379.0,2865.159,0.046379
9,44884,2910869676,44884.0,2776.022,0.044884
10,45211,2932595523,45211.0,2796.741,0.045211
11,38231,2480750415,38231.0,2365.828,0.038231
12,49349,3194421516,49349.0,3046.438,0.049349
13,47071,3052842507,47071.0,2911.417,0.047071
14,50496,3269444607,50496.0,3117.985,0.050496
15,46171,2990946816,46171.0,2852.389,0.046171
16,46049,2986680411,46049.0,2848.320,0.046049
17,54077,3500224299,54077.0,3338.074,0.054077
18,55740,3600451998,55740.0,3433.659,0.055740
19,55886,3610035000,55886.0,3442.798,0.055886
20,55788,3607475157,55788.0,3440.356,0.055788
21,56028,3620471283,56028.0,3452.750,0.056028
22,56101,3626116065,56101.0,3458.134,0.056101
23,55698,3597367059,55698.0,3430.717,0.055698
24,55953,3614235768,55953.0,3446.804,0.055953
25,56191,3623950044,56191.0,3456.068,0.056191
26,55706,3601502190,55706.0,3434.660,0.055706
27,55907,3610625733,55907.0,3443.361,0.055907
28,56144,3627953901,56144.0,3459.886,0.056144
29,55871,3609641178,55871.0,3442.422,0.055871
30,55851,3608394075,55851.0,3441.233,0.055851
