strace: Process 1283346 attached with 14 threads
strace: Process 1283778 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 75.94    0.053909          97       552        68 futex
  0.11    0.000080           1        76           pread64
  0.12    0.000085           1        71           write
  0.09    0.000067           1        45           read
  2.37    0.001682          73        23           epoll_wait
  0.11    0.000077           3        22           lseek
  1.37    0.000970          69        14           mmap
  0.65    0.000461          35        13           rt_sigprocmask
  0.02    0.000014           1         9           mprotect
 17.91    0.012715        2119         6         3 restart_syscall
  0.07    0.000050          12         4           madvise
  0.00    0.000000           0         3           close
  0.01    0.000007           3         2           gettid
  0.01    0.000005           2         2           sched_getaffinity
  0.03    0.000019          19         1           unlink
  0.01    0.000005           5         1           prctl
  0.01    0.000006           6         1           set_robust_list
  0.01    0.000006           6         1           rseq
  1.17    0.000831         831         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.070989          83       847        71 total
