timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1283,128,1608,103
2,80251,5680,159450,5363
3,80372,5538,161706,5489
4,80890,5684,159637,5683
5,80138,5904,159993,5665
6,81272,5959,161720,5694
7,80797,5998,160135,5932
8,80807,5980,160642,5885
9,81516,6338,160700,6198
10,81539,6173,161874,6105
11,81568,6535,161886,6269
12,81451,6484,161394,6208
13,81774,6699,161312,6614
14,81489,6852,162009,6666
15,81958,6964,161277,6914
16,81367,7019,159417,6706
17,81034,7410,157631,7034
18,80761,7463,158082,7127
19,82331,7520,160096,7156
20,82258,7403,161503,7163
21,82420,7541,161790,7228
22,82167,7788,161166,7498
23,21080,2113,0,0
24,28,0,0,0
25,26,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,28,0,0,0
30,25,0,0,0
