timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,85247,108863,1178623,1362943,1774,1380351,114162,175526
2,106559,136831,1175551,2215935,1251,2271231,134034,174928
3,100607,116927,126655,1299455,1457,3170303,100591,66921
4,115967,149119,1090559,1301503,2522,1553407,137720,147783
5,101503,122367,1153023,2111487,1540,2140159,124991,174411
6,117759,132863,172159,1218559,2392,1247231,126263,86627
7,100799,111103,119999,1428479,2546,1442815,103830,66574
8,85375,137087,1170431,1332223,2392,1338367,118195,164890
9,90495,136959,1157119,1452031,3058,1472511,134712,211817
10,103359,141951,1153023,1241087,2448,1349631,121897,137504
11,114303,141695,1177599,2215935,1604,2328575,132629,150234
12,110975,138879,186367,1554431,1868,1612799,122973,109233
13,111935,126015,140031,1146879,2020,2123775,116980,98639
14,90559,121279,1180671,1342463,1371,1657855,122774,180570
15,118271,152831,184703,1150975,1644,1159167,124926,47973
16,108799,147583,162687,1264639,1978,1269759,113538,85193
17,103551,141439,1126399,1314815,1717,1330175,125120,137985
18,87359,116095,1132543,1298431,2266,2201599,110877,155871
19,106751,145791,1187839,1405951,1612,1435647,133272,168360
20,112639,140415,1118207,1417215,1472,1425407,125929,116143
21,120831,135935,151039,1218559,2114,1374207,124034,75253
22,129919,142335,150143,1207295,1623,1561599,131526,56375
23,129983,156671,165759,1378303,2364,1545215,135512,70187
24,116159,125247,135295,143103,2226,324863,112077,14816
25,89599,111423,1193983,1230847,1624,1496063,122973,188444
26,97791,131967,1070079,1292287,1797,1334271,112897,115242
27,106175,132351,1213439,1320959,1622,1380351,126678,137700
28,104127,133503,1155071,1315839,1568,1458175,123889,151787
29,115839,144255,181503,1247231,1748,1258495,128138,98201
30,96255,118975,1068031,1551359,2550,2160639,108028,113742
