timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1476,338,893,204
2,35881,7687,28991,5833
3,35847,7866,29431,5986
4,34782,7818,27976,5588
5,35233,7683,27927,5550
6,35079,7694,27550,5877
7,35403,7798,27811,5584
8,35350,7581,27929,5966
9,35422,7468,27668,5714
10,36114,7575,28459,5927
11,35264,7435,28241,6058
12,35688,7625,28295,5674
13,35448,7659,27491,5549
14,35726,7713,27805,5921
15,34797,7833,28399,5819
16,3244,579,0,0
17,26,0,0,0
18,27,0,0,0
19,26,0,0,0
20,28,0,0,0
21,26,0,0,0
22,26,0,0,0
23,27,0,0,0
24,26,0,0,0
25,28,0,0,0
26,26,0,0,0
27,26,0,0,0
28,27,0,0,0
29,26,0,0,0
30,28,0,0,0
