timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,602,772,2215,1054719,98,2258943,10098,103366
2,720,1110,1003007,1029119,139,2055167,12061,106734
3,738,1096,1013759,1062911,137,2085887,14639,120219
4,894,1447,1022463,1064959,152,1270783,17318,128402
5,792,1344,1018879,1226751,121,2054143,16240,129866
6,818,1289,1020415,1226751,215,2046975,16444,126630
7,761,1087,1016319,1028095,162,1267711,14832,118433
8,623,892,1008639,1025535,126,1229823,11369,103232
9,607,790,1007615,1025023,105,2051071,11487,104410
10,612,808,1014271,1023999,151,2080767,11588,104807
11,613,782,207359,1025023,147,2086911,10835,100567
12,614,853,1005567,1045503,201,2250751,11674,108760
13,608,766,1001983,1026047,123,1260543,11070,101957
14,607,796,1005567,1026047,181,2047999,11184,103173
15,611,785,1006079,1025023,114,2077695,11392,104359
16,601,755,208383,1025535,175,2050047,10976,102667
17,610,782,202623,1026047,138,2250751,10239,101378
18,612,849,1006079,1026559,119,1271807,11324,102976
19,608,776,204671,1025023,125,2047999,10272,97887
20,612,805,1002495,1038847,110,2244607,11793,110946
21,609,787,1004543,1025535,129,1229823,11264,102675
22,609,817,205823,1025023,155,2049023,10622,99734
23,605,794,1001983,1026559,124,1239039,11194,102716
24,613,869,1003519,1025535,160,2060287,11240,103008
25,712,1019,1008127,1026559,125,2047999,12265,107580
26,719,958,1011199,1026047,194,1272831,13209,111224
27,718,1079,1013247,1025535,141,1069055,13070,110443
28,712,948,1009151,1026047,211,2091007,11796,105338
29,719,969,1016319,1034239,148,2289663,13304,112025
30,708,946,1013247,1037311,152,2047999,13292,112666
