timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,816,26,1872,58
2,22317,919,36092,1499
3,20507,908,27974,1545
4,27236,129,41232,194
5,26826,102,39068,141
6,30420,524,78664,1549
7,28155,123,43907,212
8,28074,107,43508,209
9,28289,138,44052,207
10,25721,81,35080,149
11,29426,349,69758,976
12,28123,116,43676,161
13,28227,106,43913,192
14,27844,138,43188,217
15,27988,107,43042,227
16,29718,236,59776,525
17,28204,104,43581,211
18,26626,105,38829,135
19,26110,72,36392,125
20,27380,109,40953,168
21,16539,14,0,0
22,15205,3,0,0
23,15174,1,0,0
24,15187,6,0,0
25,15198,0,0,0
26,15208,1,0,0
27,15206,2,0,0
28,15205,4,0,0
29,15193,0,0,0
30,15185,2,0,0
