timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1717,443,1028,349
2,69223,10917,66922,17118
3,71773,10678,69235,18329
4,69504,10487,64419,16569
5,71132,10506,70806,16860
6,72476,10870,72038,18539
7,72202,10891,71625,18640
8,72202,11043,70141,18007
9,71646,10765,70704,18185
10,71623,11304,71382,17757
11,71456,10856,69508,17645
12,72635,11033,73218,17952
13,72236,11404,71763,18284
14,72408,11182,69992,17752
15,71734,11003,69614,18009
16,72759,11042,74446,18277
17,71239,11015,69810,18152
18,72908,11107,72658,18274
19,70277,11286,68683,18126
20,30382,4870,0,0
21,46,0,0,0
22,46,0,0,0
23,47,0,0,0
24,48,0,0,0
25,46,0,0,0
26,46,0,0,0
27,46,0,0,0
28,47,0,0,0
29,48,0,0,0
30,46,1,0,0
