strace: Process 1384377 attached with 22 threads
strace: Process 1384875 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 90.81    0.217810         195      1113       379 futex
  0.11    0.000259           2       125           getrusage
  0.07    0.000176           2        74           pread64
  0.08    0.000201           2        71           write
  0.04    0.000088           1        46           read
  4.34    0.010415         433        24           epoll_wait
  0.00    0.000009           0        22           lseek
  0.04    0.000101           5        19           mmap
  0.04    0.000103           7        14           rt_sigprocmask
  3.94    0.009451        1181         8         6 restart_syscall
  0.04    0.000100          16         6           madvise
  0.00    0.000000           0         3           close
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000001           1         1           mprotect
  0.01    0.000026          26         1           unlink
  0.00    0.000001           1         1           prctl
  0.00    0.000000           0         1           gettid
  0.01    0.000023          23         1           clock_nanosleep
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
  0.45    0.001089        1089         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.239853         156      1535       385 total
