strace: Process 1312249 attached with 14 threads
strace: Process 1312732 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 90.05    0.124794         132       942       312 futex
  0.46    0.000639           8        75           write
  0.48    0.000669           9        74           pread64
  0.12    0.000166           3        46           read
  5.70    0.007905         329        24           epoll_wait
  0.01    0.000015           0        22           lseek
  0.76    0.001049          58        18           mmap
  0.07    0.000102           9        11           rt_sigprocmask
  1.48    0.002050         341         6         4 restart_syscall
  0.00    0.000003           1         3           close
  0.04    0.000054          18         3           madvise
  0.00    0.000000           0         2           sched_getaffinity
  0.01    0.000011          11         1           mprotect
  0.02    0.000027          27         1           unlink
  0.01    0.000007           7         1           prctl
  0.00    0.000000           0         1           gettid
  0.04    0.000055          55         1           clock_nanosleep
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000002           2         1           rseq
  0.75    0.001035        1035         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.138584         112      1234       316 total
