timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,617,179,1018,155
2,25082,7179,51342,5982
3,25618,7663,52072,6149
4,24173,7217,50766,6139
5,24239,7261,51221,6171
6,24658,7450,51849,6462
7,25080,7522,51890,6230
8,24996,7506,52256,6568
9,24602,7420,52273,6290
10,24415,7313,51804,6287
11,25282,7686,52726,6606
12,24833,7668,52580,6491
13,24895,7746,51751,6435
14,24669,7700,52284,6376
15,24024,7621,50717,6350
16,24742,7292,52098,6262
17,24369,7561,50880,6469
18,25321,7627,52643,6279
19,24241,7591,51127,6612
20,25207,7660,52516,6564
21,20612,6552,48480,5610
22,27,0,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
