timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,55505,3643181685,55505.0,3474.409,0.055505
2,51983,3412008171,51983.0,3253.945,0.051983
3,50652,3324645324,50652.0,3170.629,0.050652
4,49453,3245946561,49453.0,3095.576,0.049453
5,50171,3293073927,50171.0,3140.520,0.050171
6,48322,3171711114,48322.0,3024.779,0.048322
7,41850,2746908450,41850.0,2619.656,0.041850
8,50263,3299112531,50263.0,3146.279,0.050263
9,39914,2619835218,39914.0,2498.470,0.039914
10,49648,3258745776,49648.0,3107.782,0.049648
11,44586,2926491282,44586.0,2790.920,0.044586
12,51039,3350046843,51039.0,3194.854,0.051039
13,45859,3010047183,45859.0,2870.605,0.045859
14,46894,3077981478,46894.0,2935.392,0.046894
15,56295,3695034915,56295.0,3523.860,0.056295
16,57477,3772617849,57477.0,3597.849,0.057477
17,57436,3769926732,57436.0,3595.282,0.057436
18,57355,3764610135,57355.0,3590.212,0.057355
19,57509,3774718233,57509.0,3599.852,0.057509
20,57609,3781281933,57609.0,3606.111,0.057609
21,57688,3786467256,57688.0,3611.057,0.057688
22,57631,3782725947,57631.0,3607.489,0.057631
23,57502,3774258774,57502.0,3599.414,0.057502
24,57612,3781478844,57612.0,3606.299,0.057612
25,57278,3759556086,57278.0,3585.392,0.057278
26,57705,3787583085,57705.0,3612.121,0.057705
27,57695,3786926715,57695.0,3611.495,0.057695
28,57422,3769007814,57422.0,3594.406,0.057422
29,57453,3771042561,57453.0,3596.346,0.057453
30,57682,3786073434,57682.0,3610.681,0.057682
